COLOR	NAME	DESCRIPTION	MINIMUM	MAXIMUM
4803327	Zn50A	CL0	0	1
586754	Zd20A	CL1	1	2
4228805	AD	CL2	2	3
3913626	MOb72	CL3	3	4
13882623	|g WATER	CL4	4	5
3436152	vWz	CL5	5	6
16654962	Zn21	CL6	6	7
15274408	Zd21	CL7	7	8
13816532	|h BEBOUW	CL8	8	9
14159915	|h DIJK	CL9	9	10
11466292	Zn10A	CL10	10	11
3178645	Sn13A	CL11	11	12
16726064	MOo02	CL12	12	13
9493273	MOo05	CL13	13	14
4803327	Mn15A	CL14	14	15
4803327	Mn25A	CL15	15	16
3290367	Mn35A	CL16	16	17
9467968	Mn45A	CL17	17	18
8304157	|g MOERAS	CL18	18	19
2020768	MOb75	CL19	19	20
4814516	zVz	CL20	20	21
1906420	zWz	CL21	21	22
15949600	Mn86C	CL22	22	23
2466962	Mo20A	CL23	23	24
10841520	Mo80A	CL24	24	25
13942616	MOb12	CL25	25	26
16449304	Mn52C	CL26	26	27
13084088	Mn56C	CL27	27	28
3859104	Mn15C	CL28	28	29
7315666	Mn25C	CL29	29	30
12398002	Zn40A	CL30	30	31
16276745	|f TERP	CL31	31	32
9969910	gMn25C	CL32	32	33
9120624	Mo10A	CL33	33	34
15449904	Zn30A	CL34	34	35
13947789	gMn58C	CL35	35	36
2072133	gMn53C	CL36	36	37
6656602	Mo80C	CL37	37	38
14714029	gMn83C	CL38	38	39
10961008	gMn85C	CL39	39	40
12033682	gMn88C	CL40	40	41
9196065	hVz	CL41	41	42
1887618	kMn68C	CL42	42	43
10109182	|c OPHOOG	CL43	43	44
598140	gMn15C	CL44	44	45
16171698	Mn85C	CL45	45	46
4858491	pMn55C	CL46	46	47
15422171	kMn63C	CL47	47	48
663703	pZn21	CL48	48	49
7955936	EZg21	CL49	49	50
3246114	Mv41C	CL50	50	51
6211901	kMn48C	CL51	51	52
2099616	hVc	CL52	52	53
7974449	kMn43C	CL53	53	54
10359350	pMn85C	CL54	54	55
9801927	pMn86C	CL55	55	56
5796631	pMo80	CL56	56	57
11221379	kWp	CL57	57	58
8158420	Hn23	CL58	58	59
16518369	cHn23	CL59	59	60
10297328	pVs	CL60	60	61
10490435	cHn21	CL61	61	62
3719190	Mv61C	CL62	62	63
12973047	kVc	CL63	63	64
4343713	kVz	CL64	64	65
12142876	pMv81	CL65	65	66
51	zEZ23	CL66	66	67
12810980	pVc	CL67	67	68
11053311	pZg23	CL68	68	69
8224255	Hn21	CL69	69	70
1863626	pVz	CL70	70	71
6508932	pZn23	CL71	71	72
2000843	pMn85A	CL72	72	73
11429811	kVs	CL73	73	74
